"externalId","source_path","exists","creationTime","lastWriteTime","title"
"aiopt-403636310f963812","AI工具\ChatGPT 国内使用方案.md","True","2026-03-15T03:42:09.3948073+08:00","2026-03-15T04:06:15.5462816+08:00","【AI优化】ChatGPT 国内使用方案怎么选：账号、API 中转、Apple 内购和 Azure OpenAI"
"aiopt-18f13c5d339916d9","AI工具\CLIProxyAPI-macOS-安装与持久化运行.md","True","2026-03-15T03:42:10.4192359+08:00","2026-03-15T04:06:15.5482849+08:00","【AI优化】CLIProxyAPI 在 macOS 上安装并用 launchd 持久化运行"
"aiopt-9e9d48805ab14266","AI工具\Openclaw 和 claude code 编写代码能力对比\Openclaw 和 claude code 编写代码能力对比.md","True","2026-03-07T00:22:16.5700837+08:00","2026-03-07T00:22:16.5720882+08:00","【AI优化】OpenClaw 和 Claude Code 写同一个问卷系统，差距主要在执行纪律"
"aiopt-3e8d50258539d71c","AI工具\OpenClaw_Docker集群开发方案.md","True","2026-03-07T00:22:14.0742657+08:00","2026-03-07T00:22:14.0742657+08:00","【AI优化】用 Docker 跑多个 OpenClaw 节点：前端、后端、测试分工协作"
"aiopt-50e850847ce0c073","AI工具\OpenClaw-Agent-ARPC-通信手册.md","True","2026-03-15T03:42:09.8745332+08:00","2026-03-15T04:06:15.5472827+08:00","【AI优化】OpenClaw Agent ARPC 通信手册：强身份只认 ARP identity"
"aiopt-734ef871cff8e8b8","AI工具\openclaw-feishu-codex-remote-dev.md","True","2026-03-07T00:22:13.1309996+08:00","2026-03-15T04:06:15.5482849+08:00","【AI优化】个人开发者如何用 OpenClaw、飞书和 Codex 组织远程开发"
"aiopt-ac3d78f869a40da5","AI工具\OpenClaw与ClaudeCode对比.md","True","2026-03-07T00:22:14.5632268+08:00","2026-03-07T00:22:14.5642327+08:00","【AI优化】OpenClaw 与 Claude Code 对比：不要让调度工具单独承担编码交付"
"aiopt-a40925459b5960a4","AI工具\OpenCode 中文万能项目指令模板.md","True","2026-03-15T03:43:44.8419195+08:00","2026-03-15T03:57:16.1234913+08:00","【AI优化】OpenCode 中文项目指令模板：让主 Agent 先拆任务，再并行执行"
"aiopt-36190a31c462284d","AI工具\OpenSpec与Superpowers在ClaudeCode中的使用.md","True","2026-03-15T04:28:20.5943450+08:00","2026-03-15T04:28:20.5943450+08:00","【AI优化】在 Claude Code 中组合 OpenSpec 和 Superpowers：一个管目标，一个管执行"
"aiopt-f51cb570448daf36","AI工具\Run long horizon tasks with Codex 中文翻译.md","True","2026-03-22T19:35:41.6130299+08:00","2026-03-23T01:14:27.3561636+08:00","【AI优化】Codex 长程任务怎么跑：规格、计划、执行手册和持续验证"
"aiopt-cc3dd5fd8c23d569","AI工具\Superpowers完整指南.md","True","2026-03-07T00:22:15.0546020+08:00","2026-03-07T00:22:15.0546020+08:00","【AI优化】Superpowers 完整指南：把 AI 编程从“会写代码”拉回工程流程"
